,Symbol,Open,High,Close,VWAP,Volume,Trades,Deliverable Volume,%Deliverble,Date,Low,Week_growth_%,Week_TradeAvg
6,HINDUNILVR,2361.0,2363.95,2320.05,2328.05,2207176,115486,1062901,0.4816,2020-12-15,2307.3,4.6180739953974115,129846.0
6,HINDPETRO,229.1,229.85,226.45,227.11,6439280,56073,2067809,0.3211,2020-12-15,224.25,4.572338489535934,77365.85714285714
6,BAJFINANCE,4889.95,5150.0,5122.5,5029.6,5936796,245345,875152,0.1474,2020-12-15,4868.85,4.569589538980095,133909.14285714287
6,PGHH,11403.45,11544.0,11375.5,11425.38,7929,2482,4080,0.5146000000000001,2020-12-15,11250.0,4.470588235294118,1996.5714285714287
6,IOC,96.25,96.25,95.45,95.25,20959935,55261,4413500,0.21059999999999998,2020-12-15,94.35,4.392624728850322,75711.71428571429
6,HDFCAMC,2839.0,2839.0,2790.8,2802.89,243069,32259,122830,0.5053,2020-12-15,2780.0,4.286816295044624,49700.28571428572
6,IGL,499.9,504.0,483.15,489.8,5638343,73920,822630,0.1459,2020-12-15,480.7,4.035504179997938,44025.0
6,COLPAL,1616.95,1619.7,1604.95,1606.48,340867,19436,106455,0.3123,2020-12-15,1597.45,3.9602053915276025,29786.571428571428
6,HAVELLS,830.0,869.7,864.8,852.4,6328314,111454,1424933,0.2252,2020-12-15,826.95,3.548041433503997,44865.857142857145
6,BRITANNIA,3775.0,3797.7,3765.55,3757.67,648902,49944,316266,0.48740000000000006,2020-12-15,3725.7,3.4795640326975428,48599.857142857145
6,HCLTECH,874.7,889.0,886.0,883.14,7527270,144698,3378280,0.44880000000000003,2020-12-15,870.0,3.3781033781033725,125506.28571428571
6,ICICIGI,1495.75,1506.9,1455.7,1466.57,1270972,49091,922829,0.7261,2020-12-15,1450.1,3.3609986967556074,49732.28571428572
6,MARICO,414.0,414.0,408.5,408.53,2274426,29218,685605,0.3014,2020-12-15,405.3,3.0106991789002295,46675.142857142855
6,TITAN,1460.5,1476.0,1468.75,1468.03,2035503,64503,516992,0.254,2020-12-15,1449.3,2.785515320334262,60314.71428571428
6,PFC,120.6,121.6,120.9,119.79,6855697,23361,2011275,0.2934,2020-12-15,117.9,2.7027027027026933,35310.142857142855
6,ASIANPAINT,2535.0,2538.6,2527.45,2525.97,1283286,60317,577807,0.45030000000000003,2020-12-15,2502.5,2.4124576407939213,78079.28571428571
6,DABUR,513.95,517.2,513.85,514.07,3113626,39029,1212344,0.38939999999999997,2020-12-15,511.2,2.31454005934719,66476.85714285714
6,BAJAJFINSV,8925.0,9338.9,9296.95,9141.29,1124527,90858,179015,0.1592,2020-12-15,8870.0,2.299266075145138,55358.142857142855
6,TORNTPHARM,2721.0,2766.15,2749.2,2738.15,1187738,50373,321272,0.2705,2020-12-15,2705.0,2.26062846580407,26974.85714285714
6,HONAUT,31821.0,32099.95,31904.35,31682.89,5144,2461,3341,0.6495000000000001,2020-12-15,31337.3,2.2291401273885376,2199.285714285714
6,MUTHOOTFIN,1192.0,1210.0,1202.1,1189.49,1395501,55642,529892,0.3797,2020-12-15,1175.85,2.109704641350211,55810.57142857143
6,HDFC,2290.5,2357.4,2350.35,2331.88,5056502,181471,2731007,0.5401,2020-12-15,2282.7,2.0652032731523695,146131.2857142857
6,CIPLA,789.3,798.0,781.65,788.72,8249684,120051,1371006,0.16620000000000001,2020-12-15,779.25,1.9808306709265175,123311.28571428571
6,HDFCLIFE,659.9,663.95,651.45,652.72,4819043,68258,2515138,0.5219,2020-12-15,644.75,1.9266195885784572,100617.57142857143
