,Symbol,Open,High,Close,VWAP,Volume,Trades,Deliverable Volume,%Deliverble,monthly_growth_%,firstWeek_growth_%,secondWeek_growth_%,thirdWeek_growth_%,fourthWeek_growth_%,Date,Low,monthly_TradeAvg,1stWeek_Trade(%),2ndWeek_Trade(%),3rdWeek_Trade(%),4thWeek_Trade(%)
19,VAISHALI,54.0,58.35,58.35,57.46,381337,2092,232415,0.6095,71.8703976435935,4.270986745213536,8.402203856749324,-11.096774193548379,71.61764705882354,2020-12-29,52.35,515.5,-64.14484319430971,-24.92725509214355,-61.1251212415131,203.78273520853537
19,BHANDARI,2.15,2.25,2.25,2.23,1589979,698,1282633,0.8067000000000001,80.0,20.0,0.0,-3.448275862068969,55.172413793103445,2020-12-29,2.1,743.0,-15.051592642440562,-15.127860026917897,9.932705248990572,29.071332436069987
19,HBLPOWER,39.0,43.9,42.2,41.19,10534534,40483,3684681,0.3498,87.20682302771856,2.3454157782516023,-2.150537634408595,0.36429872495446786,46.57762938230384,2020-12-29,38.65,7719.8,-75.9536084699949,-25.27526619860618,-12.614316433068215,161.29239099458536
19,FSL,110.9,115.4,104.0,107.57,14681761,122007,4506905,0.307,42.998760842627014,-6.81536555142503,5.194805194805195,-5.099502487562199,43.354037267080756,2020-12-29,102.0,43932.05,-40.369654197030805,-28.665291057439845,-39.110967960748475,145.27480506828155
19,PNC,21.9,24.45,24.45,23.02,661504,2269,285069,0.43090000000000006,48.18181818181817,12.424242424242427,-6.944444444444445,-9.411764705882351,42.151162790697676,2020-12-29,21.0,328.5,-31.709791983764585,-54.52054794520548,-68.09741248097411,200.83713850837137
19,PAISALO,650.0,745.95,741.15,727.96,1019886,30664,186342,0.1827,91.3673678809646,2.052334530528476,6.309794988610476,2.409999999999991,39.42990654205608,2020-12-29,650.0,3141.2,-95.06558003310836,-74.59569591239017,-50.12733987011333,298.5021647777919
19,CESCVENT,360.8,374.25,340.15,346.72,580545,16923,206878,0.3564,38.611111111111114,4.240740740740737,-0.1095290251916592,-4.091653027823241,38.5597926693817,2020-12-29,328.0,4244.0,-30.415488532830665,-62.32327992459944,-46.225259189443925,181.3089066918002
19,MOHOTAIND,10.6,12.3,12.3,12.02,988395,2214,432460,0.4375,51.85185185185187,58.024691358024704,-9.583333333333337,-13.725490196078418,36.66666666666668,2020-12-29,10.3,478.55,13.990178664716327,-29.578936370285234,-66.60746003552399,99.24772751018702
19,KREBSBIO,144.0,148.8,141.6,141.01,449588,8411,210973,0.4693,53.40206185567011,15.463917525773196,-16.923076923076923,-7.168141592920349,34.05405405405407,2020-12-29,129.0,1310.1,-56.35193242246138,18.219983207388754,-63.28524540111442,140.8594763758492
19,IFGLEXPOR,268.0,268.0,245.5,255.27,144200,5872,48596,0.337,45.69176406632238,10.356075020385981,-4.809523809523807,0.277147896195521,32.01970443349754,2020-12-29,235.25,1027.85,-32.36691475734138,-69.45079534951599,-13.956316583159015,152.80926205185582
